step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.687185002513994,0,0.0,0.9324953032922929,0,0.0
10.0,0,0.0,0.0,12.883093988960178,0,0.0,0.9493862112279143,0,0.0
15.0,4,8.0,0.4444444444444444,7.409719760974214,4,8.0,0.4876540221854041,4,8.0
20.0,6,36.0,2.0,8.369825192727655,6,36.0,0.46771329543463863,6,36.0
25.0,7,67.0,3.0454545454545454,6.03152170768154,7,67.0,0.34408187615949526,7,67.0
30.0,10,88.0,4.888888888888889,4.596010621761921,10,88.0,0.3411074624541144,10,88.0
35.0,11,139.0,6.318181818181818,3.7368250143757678,11,139.0,0.20198140017579416,11,139.0
40.0,12,127.0,4.535714285714286,5.226418068086496,12,155.0,0.34636145269783064,12,155.0
45.0,14,178.0,5.933333333333334,6.282021778979338,14,178.0,0.36959033373566225,14,178.0
50.0,15,250.0,7.8125,4.791564795909382,15,250.0,0.21354910130488094,15,250.0
55.0,24,350.0,10.294117647058824,3.449615962282362,24,350.0,0.1750819725286278,24,350.0
60.0,22,448.0,14.933333333333334,1.0380939759834724,22,448.0,0.06467422753448539,22,448.0
65.0,26,567.0,15.75,3.2437543191357676,26,567.0,0.15391527038963365,26,567.0
70.0,22,498.0,13.833333333333334,2.4174183169405543,22,587.0,0.05592402468307225,22,587.0
75.0,17,249.0,5.659090909090909,5.740061175201602,17,513.0,0.33735862400695765,17,513.0
80.0,12,156.0,3.5454545454545454,5.092660592645415,12,571.0,0.27714102070589275,12,571.0
85.0,12,166.0,3.5319148936170213,4.2639857265280305,12,631.0,0.20277175988818757,12,631.0
90.0,20,113.0,2.5681818181818183,2.6508331235767737,20,651.0,0.10055333463484165,20,651.0
95.0,22,197.0,4.377777777777778,3.4885945681149773,22,670.0,0.15295171032607302,22,670.0
100.0,27,251.0,5.456521739130435,2.4644205545824613,27,689.0,0.06003782127673368,27,689.0
105.0,24,216.0,4.595744680851064,3.581145944504176,24,617.0,0.1425847332140121,24,617.0
110.0,20,202.0,4.04,4.897837111784706,20,541.0,0.22410649713197572,20,541.0
115.0,14,127.0,2.5918367346938775,4.621412138231977,14,566.0,0.2372339252977756,14,566.0
