step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.651703314495336,0,0.0,0.9506207842626594,0,0.0
10.0,0,0.0,0.0,12.662291670976593,0,0.0,0.8768976734722393,0,0.0
15.0,5,9.0,0.5,7.1035886824097325,5,9.0,0.43204146456207243,5,9.0
20.0,6,38.0,2.235294117647059,8.18960335643188,6,38.0,0.4455737351640427,6,38.0
25.0,8,70.0,3.1818181818181817,6.496622017615985,8,70.0,0.34949633787868734,8,70.0
30.0,12,124.0,6.888888888888889,3.930555086201503,12,124.0,0.28297328691538287,12,124.0
35.0,14,187.0,8.5,2.6031181945452477,14,187.0,0.18687555270271422,14,187.0
40.0,18,272.0,9.714285714285714,3.8784823488628284,18,272.0,0.2868843757455509,18,272.0
45.0,21,369.0,11.53125,3.685455243329872,21,369.0,0.2744960362534534,21,369.0
50.0,23,480.0,14.117647058823529,3.397712696966782,23,480.0,0.1761524540984136,23,480.0
55.0,28,608.0,16.0,3.25395483680039,28,608.0,0.14982445258467128,28,608.0
60.0,29,749.0,21.4,0.8773723171960658,29,749.0,0.044056187994994306,29,749.0
65.0,34,909.0,22.725,1.8618694473987767,34,909.0,0.13128011814710455,34,909.0
70.0,36,1081.0,27.025,0.15140736425659726,36,1081.0,0.011093049897328885,36,1081.0
75.0,40,1279.0,24.596153846153847,2.847073240400893,40,1279.0,0.2118769305643243,40,1279.0
80.0,42,1481.0,28.48076923076923,1.7672822178411975,42,1481.0,0.1345429060296967,42,1481.0
85.0,46,1705.0,29.396551724137932,2.204646031045268,46,1705.0,0.11789971041444955,46,1705.0
90.0,51,1945.0,33.53448275862069,1.3252124733245696,51,1945.0,0.03384831322952678,51,1945.0
95.0,53,2207.0,38.05172413793103,0.5973296147970235,53,2207.0,0.015560524973848798,53,2207.0
100.0,57,2482.0,40.68852459016394,0.5803075733176921,57,2483.0,0.031061648101802994,57,2483.0
105.0,58,2772.0,46.2,0.05456857356683352,58,2773.0,0.0044637972053535235,58,2773.0
110.0,60,3068.0,46.484848484848484,1.1930933756499733,60,3069.0,0.08451852851780668,60,3069.0
115.0,60,3368.0,51.03030303030303,0.9819369323346476,60,3369.0,0.06966215427935608,60,3369.0
120.0,62,3674.0,55.666666666666664,0.8147488529428243,62,3675.0,0.02949860927934667,62,3675.0
125.0,62,3984.0,58.588235294117645,1.1041567666558498,62,3985.0,0.026154505438516024,62,3985.0
130.0,63,4295.0,64.1044776119403,0.562526262486792,63,4296.0,0.00023997076630667235,63,4296.0
135.0,64,4615.0,69.92424242424242,0.36870915082572875,64,4616.0,0.028562083995783943,64,4616.0
140.0,64,4935.0,74.77272727272727,0.013227343216849687,64,4936.0,0.0010692897012454811,64,4936.0
145.0,66,5265.0,73.125,1.2083154166666665,66,5266.0,0.08333333333333333,66,5266.0
150.0,66,5595.0,75.60810810810811,1.1561072217129307,66,5596.0,0.07797582228033861,66,5596.0
155.0,65,5395.0,72.9054054054054,0.6786551202254156,65,5655.0,0.04357305769785423,65,5655.0
160.0,59,4496.0,59.1578947368421,1.3243288056576086,59,5446.0,0.038933896950517154,59,5446.0
165.0,53,3846.0,50.60526315789474,2.4036880798501805,53,5120.0,0.04339924111598605,53,5120.0
170.0,45,3370.0,44.3421052631579,3.721501018475094,45,4798.0,0.11995054481213928,45,4798.0
