episode,reward
1,-2632.155633207392
2,-1995.822495812857
3,-1650.2991601586232
4,-2916.530851779305
5,-2369.5561485918097
6,-2339.5638540268947
7,-2884.834995330351
8,-2129.6093677543035
9,-2179.2681751387495
10,-2254.1319014261053
11,-1877.868654025656
12,-2355.423851141453
13,-1708.4287004501234
14,-1973.3789340823537
15,-2306.43968696067
16,-2547.632520148476
17,-2431.1912863774332
18,-1827.2510786757782
19,-2190.82476482033
20,-2074.821660035198
21,-1878.1761440363957
22,-1653.5582417463404
23,-1513.3972050039195
24,-1919.961345149031
25,-2029.36540559796
26,-2159.503433699107
27,-2258.277459430246
28,-2057.982574421754
29,-1716.7379274713344
30,-2088.7116552418247
31,-2171.5979098098956
