episode,reward,smoothed_reward
1,-2113.409261430581,-2113.409261430581
2,-2212.833308750228,-2133.2940708945107
3,-1958.0499182229828,-2098.245240360205
4,-2150.7444168049105,-2108.745075649146
5,-2060.040711147224,-2099.004202748762
6,-2082.9832839935357,-2095.800018997717
7,-1875.0491113301644,-2051.6498374642065
8,-2569.0728515286455,-2155.1344402770947
9,-1800.555122788409,-2084.2185767793576
10,-2013.9536724311224,-2070.1655959097106
11,-2023.6090349735177,-2060.8542837224722
12,-1944.013276978006,-2037.4860823735792
13,-1992.0822015111596,-2028.4053062010953
14,-2039.644399726827,-2030.6531249062418
15,-1705.937359408357,-1965.709971806665
16,-2517.661454977315,-2076.100268440795
17,-2083.5761593315347,-2077.595446618943
18,-1849.7884595050814,-2032.0340491961706
19,-1980.2221456976708,-2021.6716684964708
20,-1749.2458581967787,-1967.1865064365325
21,-2195.4892267906444,-2012.847050507355
22,-2132.3915803491013,-2036.7559564757044
23,-1754.7603211281864,-1980.3568294062009
24,-1712.9374480643141,-1926.8729531378235
25,-1617.5627252856816,-1865.0109075673952
26,-1854.715509716372,-1862.9518279971908
27,-1567.6797484357455,-1803.897412084902
28,-1999.4003102410684,-1842.9979917161354
29,-1646.5789492255265,-1803.7141832180137
30,-1797.1039892977933,-1802.3921444339696
31,-2333.251312700449,-1908.5639780872657
32,-1969.0981285685104,-1920.6708081835147
33,-1815.0213540019192,-1899.5409173471958
34,-1850.5851094480681,-1889.7497557673703
35,-1697.242740327043,-1851.248352679305
36,-2594.060174327455,-1999.8107170089352
37,-1897.6509510688288,-1979.378763820914
38,-1654.3558570011867,-1914.3741824569688
39,-2019.480978280342,-1935.3955416216436
40,-1856.2269185119965,-1919.5618169997142
41,-1603.840833954559,-1856.4176203906834
42,-1534.0943276943203,-1791.9529618514107
43,-1719.4523280796445,-1777.4528350970575
44,-1633.5928989725362,-1748.6808478721532
45,-1744.0280193229994,-1747.7502821623225
46,-2056.65836540744,-1809.5318988113463
47,-1683.7928760613474,-1784.3840942613467
48,-1509.4191603377103,-1729.3911074766195
49,-2362.9902485325015,-1856.110935687796
50,-1563.5128250768328,-1797.5913135656035
51,-1565.5069979748525,-1751.1744504474536
52,-1696.2181184233461,-1740.1831840426323
53,-1805.0935379805874,-1753.1652548302236
54,-2378.8159987559966,-1878.2954036153783
55,-1575.6871662526182,-1817.7737561428264
56,-1624.397481037414,-1779.098501121744
57,-1622.8085062836496,-1747.8405021541253
58,-1931.1451739040638,-1784.5014365041131
59,-1856.1663210301897,-1798.8344134093286
60,-1624.9370979959501,-1764.054950326653
61,-1790.6197408952523,-1769.367908440373
62,-1719.5983522712636,-1759.4139972065514
63,-1682.0926790846788,-1743.949733582177
64,-1698.06738670383,-1734.7732642065077
65,-1687.1019540198934,-1725.2390021691851
66,-1489.4281149699395,-1678.076824729336
67,-1296.9134078819513,-1601.8441413598591
68,-2001.4429714935113,-1681.7639073865896
69,-1580.1559346690417,-1661.4423128430801
70,-1552.6228296026968,-1639.6784161950036
71,-1988.2552933538545,-1709.393791626774
72,-1610.4614150307937,-1689.607316307578
73,-1534.8521129261917,-1658.6562756313008
74,-1636.193560823872,-1654.163732669815
75,-2220.165028791401,-1767.3639918941321
76,-1845.253047801604,-1782.9418030756265
77,-1645.1791935239048,-1755.3892811652822
78,-1948.8151316427134,-1794.0744512607687
79,-1458.1673691600868,-1726.8930348406325
80,-1253.1969749126156,-1632.1538228550291
81,-1547.2664075596344,-1615.1763397959503
82,-1569.9376306423512,-1606.1285979652307
83,-1654.4527110918893,-1615.7934205905626
84,-1909.0458871185522,-1674.4439138961607
85,-1511.0918037588415,-1641.773491868697
86,-1772.8524560000535,-1667.9892846949685
87,-1468.2626947739047,-1628.043966710756
88,-1557.9480210672925,-1614.0247775820635
89,-1879.6886197803528,-1667.1575460217216
90,-1780.515170288017,-1689.829070874981
91,-1446.1416170909151,-1641.091580118168
92,-1924.4118638983941,-1697.7556368742135
93,-1177.0331678621503,-1593.611143071801
94,-1446.6532868671334,-1564.2195718308676
95,-1535.4285933626322,-1558.4613761372207
96,-1818.2095461081458,-1610.4110101314059
97,-1477.6765629223753,-1583.8641206896
98,-1422.368654517655,-1551.565027455211
99,-1867.7279417907976,-1614.7976103223286
100,-1480.5532109422222,-1587.9487304463075
