episode,reward,smoothed_reward
1,-2113.409261430581,-2113.409261430581
2,-2212.833308750228,-2133.2940708945107
3,-1958.0499182229828,-2098.245240360205
4,-2150.7444168049105,-2108.745075649146
5,-2060.040711147224,-2099.004202748762
6,-2082.9832839935357,-2095.800018997717
7,-1875.0491113301644,-2051.6498374642065
8,-2569.0728515286455,-2155.1344402770947
9,-1800.555122788409,-2084.2185767793576
10,-2013.9536724311224,-2070.1655959097106
11,-2023.6090349735177,-2060.8542837224722
12,-1944.013276978006,-2037.4860823735792
13,-1992.0822015111596,-2028.4053062010953
14,-2039.644399726827,-2030.6531249062418
15,-1705.937359408357,-1965.709971806665
16,-2517.661454977315,-2076.100268440795
17,-2083.5761593315347,-2077.595446618943
18,-1849.7884595050814,-2032.0340491961706
19,-1980.2221456976708,-2021.6716684964708
20,-1749.2458581967787,-1967.1865064365325
21,-2195.4892267906444,-2012.847050507355
