step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.94548173766758,0,0.0,0.9524229524804247,0,0.0
10.0,0,0.0,0.0,12.755201242190333,0,0.0,0.8724337085727926,0,0.0
15.0,5,10.0,0.5555555555555556,6.253323429028335,5,10.0,0.39875098865630737,5,10.0
20.0,6,40.0,2.2222222222222223,8.423588952845998,6,40.0,0.456309207384598,6,40.0
25.0,4,46.0,2.090909090909091,7.52321208755717,4,46.0,0.43558973170896204,4,46.0
30.0,7,78.0,4.333333333333333,6.61957883120694,7,78.0,0.34972739307300277,7,78.0
35.0,7,64.0,2.909090909090909,5.719178964865429,7,81.0,0.3097030355681283,7,81.0
40.0,4,60.0,2.4,8.548738807961916,4,72.0,0.5355239419449938,4,72.0
45.0,6,82.0,2.9285714285714284,7.851629248787176,6,94.0,0.4319292430794262,6,94.0
50.0,13,131.0,5.038461538461538,5.661209373190085,13,143.0,0.2532719626940604,13,143.0
55.0,12,155.0,5.535714285714286,4.884002857836526,12,178.0,0.25420532974998583,12,178.0
60.0,14,225.0,8.333333333333334,5.643517264732659,14,237.0,0.23474427941217688,14,237.0
65.0,13,223.0,7.433333333333334,4.939786075512577,13,264.0,0.22378406664173472,13,264.0
70.0,5,132.0,5.076923076923077,5.038084630670669,5,232.0,0.22421181738284837,5,232.0
75.0,4,139.0,3.7567567567567566,8.788973541224967,4,191.0,0.5150306818341754,4,191.0
80.0,5,164.0,4.96969696969697,10.77484125363658,5,164.0,0.6498270082509864,5,164.0
85.0,8,192.0,5.485714285714286,7.170745742801355,8,192.0,0.3570150786396503,8,192.0
90.0,15,259.0,8.633333333333333,5.430982685058554,15,259.0,0.23601808891599124,15,259.0
95.0,14,261.0,8.7,3.698739356637041,14,289.0,0.1997705670173225,14,289.0
100.0,16,323.0,11.137931034482758,4.876052764457666,16,325.0,0.2543246265834271,16,325.0
105.0,14,325.0,9.848484848484848,4.793168087353019,14,363.0,0.20969667660998575,14,363.0
110.0,8,261.0,7.25,6.706203921000554,8,348.0,0.3672740065319005,8,348.0
115.0,7,287.0,8.2,8.670414043700394,7,327.0,0.48279156408135593,7,327.0
120.0,7,322.0,9.757575757575758,8.671765440514966,7,324.0,0.47323676591574565,7,324.0
125.0,12,369.0,11.53125,5.8276460530611,12,371.0,0.28211640371068325,12,371.0
130.0,16,441.0,14.7,5.0200291588779065,16,443.0,0.19488960239491163,16,443.0
135.0,15,439.0,14.161290322580646,3.986140318462259,15,474.0,0.1908830408067464,15,474.0
140.0,16,490.0,16.896551724137932,4.8893543726814475,16,495.0,0.25992014570907257,16,495.0
145.0,13,486.0,14.294117647058824,4.945243273942274,13,530.0,0.241841042759877,13,530.0
150.0,9,423.0,10.846153846153847,7.009136030589082,9,512.0,0.41318256717559193,9,512.0
155.0,7,453.0,12.942857142857143,7.509155825918286,7,491.0,0.3849083827318931,7,491.0
160.0,11,495.0,13.378378378378379,7.417601757561133,11,500.0,0.32951225032182924,11,500.0
165.0,11,549.0,17.15625,5.280584959371087,11,559.0,0.22471837528785085,11,559.0
170.0,20,628.0,19.03030303030303,4.520912950759135,20,633.0,0.20574413179697254,20,633.0
175.0,21,733.0,23.64516129032258,3.35428031219692,21,738.0,0.13462678288028432,21,738.0
180.0,26,853.0,27.516129032258064,1.6134468537148476,26,858.0,0.1143009744716924,26,858.0
185.0,24,845.0,22.83783783783784,2.4781376112727926,24,907.0,0.18592901055507763,24,907.0
190.0,22,883.0,21.536585365853657,4.727791865452025,22,913.0,0.27379699979729516,22,913.0
195.0,20,879.0,20.441860465116278,3.1699341478930347,20,965.0,0.11684270336333807,20,965.0
200.0,21,770.0,17.5,4.425356945454888,21,966.0,0.1982019878683448,21,966.0
205.0,16,805.0,18.72093023255814,5.0143820096771154,16,952.0,0.18402140347471607,16,952.0
210.0,15,838.0,19.488372093023255,4.920756551082368,15,987.0,0.251666116639324,15,987.0
215.0,18,892.0,23.473684210526315,3.2702329794403826,18,1017.0,0.10150243143097205,18,1017.0
220.0,25,960.0,19.591836734693878,4.896743981531236,25,1065.0,0.2669556167773891,25,1065.0
225.0,17,997.0,21.67391304347826,4.883325407351207,17,1078.0,0.2435975895780032,17,1078.0
230.0,17,1048.0,21.387755102040817,5.3311679750988095,17,1111.0,0.24385896168267138,17,1111.0
235.0,21,1151.0,25.02173913043478,6.059743012964327,21,1176.0,0.21793722818308545,21,1176.0
240.0,22,1257.0,29.232558139534884,6.024403443710026,22,1265.0,0.2253376596674032,22,1265.0
245.0,20,1174.0,28.634146341463413,4.72369023540313,20,1277.0,0.19461669250561775,20,1277.0
250.0,19,1210.0,30.25,4.682034296557852,19,1248.0,0.18869265373045963,19,1248.0
255.0,23,1289.0,29.976744186046513,4.808916593494054,23,1344.0,0.25168017728148423,23,1344.0
260.0,19,1368.0,30.4,5.40753387347441,19,1414.0,0.2875357941142814,19,1414.0
265.0,20,1445.0,33.604651162790695,4.282617684797181,20,1461.0,0.19902266767873028,20,1461.0
270.0,25,1565.0,36.395348837209305,4.336091881272709,25,1581.0,0.1810391986580138,25,1581.0
275.0,27,1490.0,36.34146341463415,3.4392776909738454,27,1599.0,0.11439320778828752,27,1599.0
280.0,21,1397.0,32.48837209302326,4.3636175540815145,21,1527.0,0.20489306016120984,21,1527.0
285.0,20,1428.0,34.829268292682926,3.8691027305321573,20,1587.0,0.1613545646227628,20,1587.0
290.0,20,1389.0,28.346938775510203,5.518885779049463,20,1608.0,0.28315018104662293,20,1608.0
295.0,19,1468.0,31.23404255319149,5.401174646976296,19,1697.0,0.29359407590811426,19,1697.0
300.0,25,1576.0,35.022222222222226,2.8659866567137544,25,1806.0,0.14223469038598255,25,1806.0
305.0,32,1697.0,36.1063829787234,2.203155603678835,32,1912.0,0.12426808174168341,32,1912.0
310.0,28,1789.0,37.270833333333336,2.763418084855315,28,1985.0,0.10289535323402761,28,1985.0
315.0,23,1779.0,34.88235294117647,3.6003847478371895,23,1995.0,0.15858974788971023,23,1995.0
320.0,21,1702.0,34.734693877551024,3.6248089564341197,21,1934.0,0.15958764458386915,21,1934.0
325.0,27,1824.0,34.41509433962264,4.990546434146153,27,1934.0,0.22999112712715034,27,1934.0
330.0,32,1925.0,36.320754716981135,3.943328152532609,32,2030.0,0.14275929292456455,32,2030.0
335.0,35,2100.0,41.1764705882353,3.390639976393184,35,2205.0,0.1451828546554494,35,2205.0
340.0,39,2287.0,45.74,2.3250773591937137,39,2392.0,0.04424442915075869,39,2392.0
345.0,41,2492.0,49.84,1.5985349240231455,41,2597.0,0.06274818590337317,41,2597.0
350.0,43,2563.0,51.26,0.9422461419644168,43,2703.0,0.0442092553760429,43,2703.0
355.0,33,2425.0,45.75471698113208,2.143875066785376,33,2721.0,0.07528224576630034,33,2721.0
360.0,28,2228.0,42.0377358490566,2.564556129078722,28,2804.0,0.0701950156372191,28,2804.0
365.0,21,2134.0,34.98360655737705,4.002543279086043,21,2831.0,0.21120612662056648,21,2831.0
370.0,22,936.0,15.864406779661017,3.0752849621436464,22,2228.0,0.14772824521274183,22,2228.0
375.0,26,194.0,3.2333333333333334,3.1191653998042863,26,1353.0,0.11702116157876945,26,1353.0
380.0,33,273.0,4.627118644067797,2.161501080088241,33,1394.0,0.055282146741156314,33,1394.0
385.0,35,288.0,4.88135593220339,2.4161601755380957,35,1355.0,0.05614458103845871,35,1355.0
390.0,32,332.0,5.824561403508772,3.839141283186403,32,1286.0,0.11969939753647448,32,1286.0
395.0,22,275.0,5.188679245283019,3.573433822907204,22,1306.0,0.12930529373183214,22,1306.0
400.0,16,240.0,4.444444444444445,4.9389345294529825,16,1312.0,0.2640608905219382,16,1312.0
405.0,20,303.0,5.716981132075472,4.085682154183512,20,1305.0,0.20988187388541416,20,1305.0
410.0,21,348.0,6.214285714285714,3.316617446686227,21,1217.0,0.12556765984757343,21,1217.0
415.0,18,281.0,4.9298245614035086,3.052080445728669,18,1243.0,0.12556456626354268,18,1243.0
