episode,step,waiting_time,co2_emission,throughput,reward,episode_reward,exploration_rate,q_table_size
0,0,0.0,27.2318606713528,0,1.1455362786572947,1.1455362786572947,0.5,0
0,10,126.0,44.35009534927918,0,0.08381980930144173,7.99839566793663,0.5,5
0,20,929.0,93.36655700038496,0,-1.84115311400077,2.4586486095147633,0.5,11
0,30,1717.0,102.12575764337574,2,0.1830884847132488,-17.219608433845966,0.5,17
0,40,3135.0,132.78928359553527,0,-2.965878567191071,-54.12218927561246,0.5,36
0,50,3096.0,128.272984465037,0,-2.6186259689300733,-90.69384498052412,0.5,44
0,60,4364.0,144.88088938027363,0,-6.2664817787605465,-131.25356443494414,0.5,52
0,70,4848.0,117.90369123808355,0,-4.062847382476168,-189.63892552924466,0.5,57
0,80,3269.0,129.38828481900194,0,-2.280396569638003,-216.2501824816858,0.5,64
0,90,4521.0,122.2258705985379,2,-6.165031741197075,-261.90255725018056,0.5,73
0,100,5188.0,140.15281238759223,0,-4.166305624775183,-323.53231886878353,0.5,81
0,110,3273.0,136.34198478474204,0,-2.366223969569484,-355.79340193948184,0.5,89
