episode,reward
1,-4725.476269056828
2,-7802.263434459809
3,-2724.4833928146404
4,-4408.729939121428
5,-4675.878969857722
6,-1708.979844628199
7,-7935.534643216855
8,-6145.917075586378
9,-5682.120071498294
10,-2743.1328981928186
11,-2918.8163327544416
12,-6319.301095615916
13,-6147.375108218111
14,-4010.888325552554
15,-6971.294319224518
16,-5562.132965268677
17,-4474.748278583458
18,-5663.594567822248
19,-3143.975464888162
20,-4780.448998764388
21,-2704.6824436670886
22,-3877.7384702001646
23,-5032.174286326405
24,-5029.5266698445685
25,-4587.529216964434
26,-9921.95913940862
27,-5061.90909111931
28,-3649.613123864547
29,-5329.812282775211
30,-3242.1560278952493
31,-4782.502191529453
32,-4733.638865379712
33,-3119.7170281402464
34,-3758.9692714064076
35,-3029.895331350172
36,-3450.1226665897307
37,-5272.272250700331
38,-4446.885248935621
39,-5010.737748558191
40,-8806.770417949896
41,-4065.876983245383
42,-2791.886756060815
43,-5587.5825713297545
44,-4271.428932181398
45,-9989.055748019393
46,-7660.496685186492
47,-5811.240278378262
48,-3841.3862524175074
49,-9658.893189936056
50,-4229.0211190239015
