step,episode,waiting_time,co2_emission,reward
0,0,0.0,8.889442141333934,-0.1777888428266787
5,0,8.0,24.673766382303373,-2.5496981271006662
10,0,42.0,34.675284524458164,-6.7300709335980615
15,0,20.0,42.318582604992635,-11.883921859329178
20,0,7.0,48.802243068052874,-16.66168745347671
25,0,58.0,54.74096616047235,-22.676009793958112
30,0,77.0,50.04393092664613,-31.237005148106146
35,0,90.0,33.02167234051267,-39.14011060048082
40,0,48.0,43.656019627357274,-47.153902566205694
45,0,437.0,62.27919775469424,-63.50109335331838
50,0,399.0,79.107345326969,-94.5778415864422
55,0,174.0,54.315995886948265,-107.56991568886009
60,0,124.0,71.80841096378587,-121.67091078399638
65,0,65.0,39.85945400679131,-131.2310524052587
70,0,34.0,45.27119589121335,-137.8469394077359
75,0,93.0,48.442465712957116,-145.31035285501952
80,0,90.0,46.22596212230349,-153.1645801819885
85,0,13.0,46.17803398729933,-161.11828008230862
90,0,74.0,53.50226449717594,-168.5966588820239
95,0,79.0,44.952643155758,-177.41653496570885
100,0,174.0,71.87265521371637,-188.39374878983594
105,0,140.0,73.42836073296726,-203.73763731754968
110,0,65.0,83.27149848833162,-214.98579967333788
115,0,91.0,56.530522540176015,-224.8082204167839
120,0,300.0,103.28437436881234,-241.68161505888293
125,0,264.0,76.33994048147433,-264.86334382965765
130,0,313.0,72.4661269613836,-281.7455476844533
135,0,476.0,69.55352242322803,-305.84925245412245
140,0,540.0,79.40348427293121,-333.709280690265
145,0,698.0,77.98504967274155,-369.0291619285332
150,0,691.0,74.00739456065862,-405.2047941031706
155,0,312.0,70.94282839159823,-428.40419431186
160,0,294.0,77.55222178221283,-446.00931072879604
165,0,370.0,82.2797859265621,-470.12872770897803
170,0,393.0,81.7234564020376,-493.7774906642231
175,0,901.0,104.48380308885257,-531.3012801771238
180,0,511.0,58.06017800468261,-564.2746261662224
185,0,17.0,76.50963671840873,-581.2832486565603
190,0,65.0,96.69886499018422,-592.0515002843057
195,0,74.0,99.19595627672712,-604.1646378038571
0,1,0.0,5.839217975680509,-0.1167843595136102
5,1,6.0,52.21318329178354,-3.69631225991617
10,1,26.0,53.36511512482161,-8.721724050631671
15,1,82.0,45.17636275480206,-14.335232085374424
20,1,37.0,29.775183227095162,-21.109643957055123
25,1,28.0,25.578946289461193,-25.26326810446584
30,1,78.0,41.52068380849416,-29.37620664801438
35,1,15.0,21.602294014099048,-37.060637996751375
40,1,42.0,43.18700380215388,-42.410319432676815
45,1,42.0,57.322071189209,-50.741192675994135
50,1,55.0,44.22343462835761,-60.62090273897863
55,1,114.0,57.0599820587006,-70.23144237936002
60,1,353.0,82.5762180870834,-89.1409561873891
65,1,138.0,86.13288630126945,-106.71931986015105
70,1,56.0,63.5717436717181,-116.00352714792946
75,1,53.0,56.008075756952735,-125.55298059968145
80,1,150.0,60.71269882615614,-134.83551604599796
85,1,82.0,58.248581494261835,-146.24282473889664
90,1,108.0,98.55692749852712,-160.20371487416415
