episode,reward
1,-1902.7470164099882
2,-1010.5206090462854
3,-899.3924530782563
4,-1256.3210501642645
5,-1364.1277677169978
6,-632.9196579122543
7,-781.7800163974794
8,-905.2575956811102
9,-696.499233248442
10,-801.8889928274672
11,-748.9383157589288
12,-863.4752988733396
13,-733.7263214533579
14,-921.2858188203502
15,-794.8379544390002
16,-811.9146679330187
17,-777.3826019873702
18,-752.8059574176236
19,-680.5408391822785
20,-753.1656835765783
21,-809.5379635923654
22,-598.733051299823
23,-747.7051614170838
24,-622.2262763166019
25,-674.0989807230837
26,-907.1521295603499
27,-555.9129600593512
28,-563.606378689228
29,-763.5068745715997
30,-635.3090574898125
31,-693.6863735551915
32,-565.8273151431949
33,-724.838923261851
34,-493.53254665436236
35,-666.069127982196
36,-711.3744226427696
37,-698.8408465853399
38,-508.80848756631156
39,-666.9108235072792
40,-938.7799735526891
41,-537.0033099449862
42,-669.1912075717651
43,-458.3187976975793
44,-496.66237281396957
45,-695.5633446245093
46,-785.6875907642732
47,-763.4943264064813
48,-510.8543160263864
49,-672.8337716221084
50,-700.1623005670524
