episode,reward
1,-13536.00845799946
2,-12608.438050904912
3,-13490.368073026208
4,-18882.853245033446
5,-11657.6496180554
6,-12278.76741454258
7,-12308.100446017212
8,-13769.405445014008
9,-11271.733719486538
10,-14757.846804512596
11,-7312.971091812248
12,-11462.570030672441
13,-7809.279239128675
14,-10203.073461372313
15,-13368.314704034707
16,-11672.041893951844
17,-8686.01455991119
18,-9332.275488628095
19,-8660.993954256184
20,-8263.16396447689
21,-9289.150735415165
22,-14011.134645586571
23,-10579.2155008426
24,-9312.809786404468
25,-14267.203934936097
26,-8121.196810594879
27,-10526.074222593757
28,-6966.8864955642375
29,-11913.089451881524
30,-8471.295239640955
31,-15311.715867936886
32,-8626.092448752894
33,-9246.19462246631
34,-9019.579339184223
35,-12082.520441232915
36,-9419.34701768791
37,-10314.45186804865
38,-10473.17659168551
39,-8445.365662612598
40,-12053.160233360155
41,-7252.109015861626
42,-9168.622629372623
43,-11436.65163801933
44,-9864.701043286144
45,-9225.392779770966
46,-10398.211760842356
47,-12056.374944443429
48,-8331.551964688575
49,-9142.742188363396
50,-10486.62532817579
