step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.305470585499501,0,0.0,0.8626775713279419,0,0.0
10.0,0,0.0,0.0,12.220188903184875,0,0.0,0.8658703892876228,0,0.0
15.0,4,4.0,0.2222222222222222,6.523874592317672,4,4.0,0.39206234748540103,4,4.0
20.0,8,36.0,2.0,6.915342338055365,8,36.0,0.3869515730405723,8,36.0
25.0,6,54.0,2.347826086956522,6.1892899576080005,6,54.0,0.34173394467237694,6,54.0
30.0,12,110.0,5.5,4.746814178770586,12,110.0,0.24498189019314243,12,110.0
35.0,9,84.0,3.5,4.352690747176374,9,132.0,0.21663703437791842,9,132.0
40.0,6,88.0,3.142857142857143,7.65449911197851,6,100.0,0.4525799919679523,6,100.0
45.0,2,2.0,0.0625,8.081911258861842,2,64.0,0.4975039465387699,2,64.0
50.0,9,31.0,1.0333333333333334,7.282249387257322,9,43.0,0.38544919089794194,9,43.0
55.0,8,29.0,0.9666666666666667,6.820478525652704,8,64.0,0.3021745520026216,8,64.0
60.0,4,34.0,1.36,7.78767610624454,4,53.0,0.357797574752851,4,53.0
65.0,6,58.0,2.0714285714285716,9.833095891816118,6,58.0,0.509870643471017,6,58.0
70.0,4,18.0,0.782608695652174,7.773283610766225,4,49.0,0.3726750259169881,4,49.0
75.0,9,57.0,1.9,7.207733073906025,9,57.0,0.44867417247393515,9,57.0
80.0,6,58.0,2.0714285714285716,7.812608553610872,6,83.0,0.5332415070391727,6,83.0
85.0,6,74.0,2.466666666666667,7.019596786772772,6,80.0,0.45703373887838267,6,80.0
90.0,12,119.0,3.966666666666667,5.858799536096456,12,125.0,0.28809865712096094,12,125.0
95.0,14,187.0,6.233333333333333,4.780266498173286,14,193.0,0.21319494351776672,14,193.0
100.0,13,207.0,6.9,4.916542168491534,13,241.0,0.25842082023841056,13,241.0
105.0,10,247.0,7.967741935483871,5.522554753003474,10,259.0,0.28743737500472655,10,259.0
110.0,12,303.0,8.416666666666666,8.320629961194989,12,303.0,0.4383190330955538,12,303.0
115.0,12,363.0,10.371428571428572,8.45556520417697,12,363.0,0.4461491029871798,12,363.0
